Serial # in Treebank,Citation,Greek text,English,Lemmas,,,,,,,,,,,,,,,,,,,,,,Serial # in Treebank,Citation,Greek text,English,Lemmas
2274237,1.239,[1.239] ὃ δέ τοι μέγας ἔσσεται ὅρκος:,and this shall be for you a mighty oath.,ὁ δέ σύ μέγας εἰμί ὅρκος,,,,,,,,,,,,,,,,,,,,,,,,,,
2274238,1.240-1.241,[1.240] ἦ ποτ᾽ Ἀχιλλῆος ποθὴ ἵξεται υἷας Ἀχαιῶν [1.241] σύμπαντας:,"Surely some day a longing for Achilles will come upon the sons of the Achaeans one and all,",ἦ ποτέ Ἀχιλλεύς ποθή ἱκνέομαι υἱός Ἀχαιός σύμπας,,,,,,,,,,,,,,,,,,,,,,,,,,
2274239,1.241-1.243,"[1.241] τότε δ᾽ οὔ τι δυνήσεαι ἀχνύμενός περ [1.242] χραισμεῖν, εὖτ᾽ ἂν πολλοὶ ὑφ᾽ Ἕκτορος ἀνδροφόνοιο [1.243] θνήσκοντες πίπτωσι:","and on that day you will not be able to help them at all, for all your grief, when many shall fall dying before man-slaying Hector.",τότε δέ οὐ τις δύναμαι ἀχεύω πέρ χραισμέω εὖτε ἄν πολύς ὑπό Ἕκτωρ ἀνδροφόνος θνήσκω πίπτω,,,,,,,,,,,,,,,,,,,,,,,,,,
2274240,1.243-1.244,[1.243] σὺ δ᾽ ἔνδοθι θυμὸν ἀμύξεις [1.244] χωόμενος ὅ τ᾽ ἄριστον Ἀχαιῶν οὐδὲν ἔτισας.,"But you will gnaw the heart within you, in anger that you did no honour to the best of the Achaeans.",σύ δέ ἔνδοθι θυμός ἀμύσσω χώομαι ὅς τε ἄριστος Ἀχαιός οὐδείς τίνω,,,,,,,,,,,,,,,,,,,,,,,,,,
2274241,1.245-1.246,"[1.245] ὣς φάτο Πηλεΐδης, ποτὶ δὲ σκῆπτρον βάλε γαίῃ [1.246] χρυσείοις ἥλοισι πεπαρμένον, ἕζετο δ᾽ αὐτός:","So spoke the son of Peleus, and down to the earth he dashed the staff studded with golden nails, and himself sat down,",ὡς φημί Πηλείδης πρός δέ σκῆπτρον βάλλω γαῖα χρύσεος ἧλος πείρω ἕζομαι δέ αὐτός,,,,,,,,,,,,,,,,,,,,,,,,,,
2274242,1.247,[1.247] Ἀτρεΐδης δ᾽ ἑτέρωθεν ἐμήνιε:,while over against him the son of Atreus continued to vent his wrath.,Ἀτρείδης δέ ἑτέρωθεν μηνίω,,,,,,,,,,,,,,,,,,,,,,,,,,
2274243,1.247-1.249,"[1.247] τοῖσι δὲ Νέστωρ [1.248] ἡδυεπὴς ἀνόρουσε λιγὺς Πυλίων ἀγορητής, [1.249] τοῦ καὶ ἀπὸ γλώσσης μέλιτος γλυκίων ῥέεν αὐδή: [0]","Then among them arose Nestor, sweet of speech, the clear-voiced orator of the Pylians, from whose tongue flowed speech sweeter than honey.",ὁ δέ Νέστωρ ἡδυεπής ἀνορούω λιγύς Πύλιος ἀγορητής ὁ καί ἀπό γλῶσσα μέλι γλυκύς ῥέω αὐδή,,,,,,,,,,,,,,,,,,,,,,,,,,
2274244,1.250-1.252,"[1.250] τῷ δ᾽ ἤδη δύο μὲν γενεαὶ μερόπων ἀνθρώπων [1.251] ἐφθίαθ᾽, οἵ οἱ πρόσθεν ἅμα τράφεν ἠδ᾽ ἐγένοντο [1.252] ἐν Πύλῳ ἠγαθέῃ, μετὰ δὲ τριτάτοισιν ἄνασσεν:","Two generations of mortal men had passed away in his lifetime, who had been born and reared with him before in sacred Pylos , and he was king among the third.",ὁ δέ ἤδη δύο μέν γενεά μέροψ ἄνθρωπος φθίω ὅς ἕ πρόσθεν ἅμα τρέφω ἠδέ γίγνομαι ἐν Πύλος ἠγάθεος μετά δέ τρίτατος ἀνάσσω,,,,,,,,,,,,,,,,,,,,,,,,,,
2274245,1.253,[1.253] ὅ σφιν ἐὺ φρονέων ἀγορήσατο καὶ μετέειπεν:,He with good intent addressed the gathering and spoke among them:,ὁ σφεῖς εὖ φρονέω ἀγοράομαι καί μετεῖπον,,,,,,,,,,,,,,,,,,,,,,,,,,
2274246,1.254,[1.254] ὦ πόποι ἦ μέγα πένθος Ἀχαιΐδα γαῖαν ἱκάνει:,"Comrades, great grief has come upon the land of Achaea .",ὦ πόποι ἦ μέγας πένθος Ἀχαιΐς γαῖα ἱκάνω,,,,,,,,,,,,,,,,,,,,,,,,,,
2274247,1.255-1.258,"[1.255] ἦ κεν γηθήσαι Πρίαμος Πριάμοιό τε παῖδες [1.256] ἄλλοι τε Τρῶες μέγα κεν κεχαροίατο θυμῷ [1.257] εἰ σφῶϊν τάδε πάντα πυθοίατο μαρναμένοιϊν, [1.258] οἳ περὶ μὲν βουλὴν Δαναῶν, περὶ δ᾽ ἐστὲ μάχεσθαι. [0]","Truly would Priam and the sons of Priam rejoice, and the rest of the Trojans would be most glad at heart, were they to hear all this of you two quarrelling, you who are chief among the Danaans in counsel and chief in war.",ἦ ἄν γηθέω Πρίαμος Πρίαμος τε παῖς ἄλλος τε Τρώς μέγας ἄν χαίρω θυμός εἰ σύ ὅδε πᾶς πυνθάνομαι μάρναμαι ὅς περί μέν βουλή Δαναοί περί δέ εἰμί μάχομαι,,,,,,,,,,,,,,,,,,,,,,,,,,
2274248,1.259,[1.259] ἀλλὰ πίθεσθ᾽:,"Listen to me,",ἀλλά πείθω,,,,,,,,,,,,,,,,,,,,,,,,,,
2274249,1.259,[1.259] ἄμφω δὲ νεωτέρω ἐστὸν ἐμεῖο:,for you are both younger than I.,ἄμφω δέ νέος εἰμί ἐγώ,,,,,,,,,,,,,,,,,,,,,,,,,,
2274250,1.260-1.261,"[1.260] ἤδη γάρ ποτ᾽ ἐγὼ καὶ ἀρείοσιν ἠέ περ ὑμῖν [1.261] ἀνδράσιν ὡμίλησα, καὶ οὔ ποτέ μ᾽ οἵ γ᾽ ἀθέριζον.","In earlier times I moved among men more warlike than you, and never did they despise me.",ἤδη γάρ ποτέ ἐγώ καί ἀρείων ἤ πέρ σύ ἀνήρ ὁμιλέω καί οὐ ποτέ ἐγώ ὁ γε ἀθερίζω,,,,,,,,,,,,,,,,,,,,,,,,,,
2274251,1.262-1.265,"[1.262] οὐ γάρ πω τοίους ἴδον ἀνέρας οὐ δὲ ἴδωμαι, [1.263] οἷον Πειρίθοόν τε Δρύαντά τε ποιμένα λαῶν [1.264] Καινέα τ᾽ Ἐξάδιόν τε καὶ ἀντίθεον Πολύφημον [1.265] Θησέα τ᾽ Αἰγεΐδην, ἐπιείκελον ἀθανάτοισιν: [0]","Such warriors have I never since seen, nor shall I see, as Peirithous was and Dryas, shepherd of the people, and Caeneus and Exadius and godlike Polyphemus, and Theseus, son of Aegeus, a man like the immortals.",οὐ γάρ πω τοῖος εἶδον ἀνήρ οὐ δέ εἶδον οἷος Πειρίθοος τε Δρύας τε ποιμήν λαός Καινεύς τε Ἐξάδιος τε καί ἀντίθεος Πολύφημος Θησεύς τε Αἰγείδην ἐπιείκελος ἀθάνατος,,,,,,,,,,,,,,,,,,,,,,,,,,
2274252,1.266,[1.266] κάρτιστοι δὴ κεῖνοι ἐπιχθονίων τράφεν ἀνδρῶν:,Mightiest were these of men reared upon the earth;,κράτιστος δή κεῖνος ἐπιχθόνιος τρέφω ἀνήρ,,,,,,,,,,,,,,,,,,,,,,,,,,
2274253,1.267-1.268,[1.267] κάρτιστοι μὲν ἔσαν καὶ καρτίστοις ἐμάχοντο [1.268] φηρσὶν ὀρεσκῴοισι καὶ ἐκπάγλως ἀπόλεσσαν. [0],"mightiest were they, and with the mightiest they fought, the mountain-dwelling centaurs, and they destroyed them terribly.",κράτιστος μέν εἰμί καί κράτιστος μάχομαι φήρ ὀρεσκῷος καί ἔκπαγλος ἀπόλλυμι,,,,,,,,,,,,,,,,,,,,,,,,,,
2274254,1.269-1.270,[1.269] καὶ μὲν τοῖσιν ἐγὼ μεθομίλεον ἐκ Πύλου ἐλθὼν [1.270] τηλόθεν ἐξ ἀπίης γαίης: [0],"With these men I had fellowship, when I came from Pylos , from a distant land far away;",καί μέν ὁ ἐγώ μεθομιλέω ἐκ Πύλος ἔρχομαι τηλόθεν ἐκ ἄπιος2 γαῖα,,,,,,,,,,,,,,,,,,,,,,,,,,
2274255,1.27,[1.270] καλέσαντο γὰρ αὐτοί:,for they themselves called me.,καλέω γάρ αὐτός,,,,,,,,,,,,,,,,,,,,,,,,,,
2274256,1.271,[1.271] καὶ μαχόμην κατ᾽ ἔμ᾽ αὐτὸν ἐγώ:,And I fought on my own; 1,καί μάχομαι κατά ἐγώ αὐτός ἐγώ,,,,,,,,,,,,,,,,,,,,,,,,,,
2274257,1.271-1.272,[1.271] κείνοισι δ᾽ ἂν οὔ τις [1.272] τῶν οἳ νῦν βροτοί εἰσιν ἐπιχθόνιοι μαχέοιτο:,with those men could no one fight of the mortals now upon the earth.,κεῖνος δέ ἄν οὐ τις ὁ ὅς νῦν βροτός εἰμί ἐπιχθόνιος συμμαχέω,,,,,,,,,,,,,,,,,,,,,,,,,,
2274258,1.273,[1.273] καὶ μέν μευ βουλέων ξύνιεν πείθοντό τε μύθῳ:,"Yes, and they listened to my counsel, and obeyed my words.",καί μέν ἐγώ βουλή συνίημι πείθω τε μῦθος,,,,,,,,,,,,,,,,,,,,,,,,,,
2274259,1.274,"[1.274] ἀλλὰ πίθεσθε καὶ ὔμμες, ἐπεὶ πείθεσθαι ἄμεινον: [0]","So also should you obey, since to obey is better.",ἀλλά πείθω καί σύ ἐπεί πείθω ἀμείνων,,,,,,,,,,,,,,,,,,,,,,,,,,
2274260,1.275-1.276,"[1.275] μήτε σὺ τόνδ᾽ ἀγαθός περ ἐὼν ἀποαίρεο κούρην, [1.276] ἀλλ᾽ ἔα ὥς οἱ πρῶτα δόσαν γέρας υἷες Ἀχαιῶν:","Neither do you, mighty though you are, take away the girl, but let her be, as the sons of the Achaeans first gave her to him as a prize;",μήτε σύ ὅδε ἀγαθός πέρ εἰμί ἀπαίρω κόρη ἀλλά ἐάω ὡς ἕ πρῶτος δίδωμι γέρας υἱός Ἀχαιός,,,,,,,,,,,,,,,,,,,,,,,,,,
2274261,1.277-1.279,"[1.277] μήτε σὺ Πηλείδη ἔθελ᾽ ἐριζέμεναι βασιλῆϊ [1.278] ἀντιβίην, ἐπεὶ οὔ ποθ᾽ ὁμοίης ἔμμορε τιμῆς [1.279] σκηπτοῦχος βασιλεύς, ᾧ τε Ζεὺς κῦδος ἔδωκεν.","nor do you, son of Peleus, be minded to strive with a king, might against might, for it is no common honour that is the portion of a sceptre-holding king, to whom Zeus gives glory.",μήτε σύ Πηλείδης ἐθέλω ἐρίζω βασιλεύς ἀντιβίην ἐπεί οὐ ποτέ ὁμοῖος μείρομαι τιμή σκηπτοῦχος βασιλεύς ὅς τε Ζεύς κῦδος δίδωμι,,,,,,,,,,,,,,,,,,,,,,,,,,
2274262,1.280-1.281,"[1.280] εἰ δὲ σὺ καρτερός ἐσσι θεὰ δέ σε γείνατο μήτηρ, [1.281] ἀλλ᾽ ὅ γε φέρτερός ἐστιν ἐπεὶ πλεόνεσσιν ἀνάσσει.","If you are a stronger fighter, and a goddess mother bore you, yet he is the mightier, since he is king over more.",εἰ δέ σύ καρτερός εἰμί θεά δέ σύ γείνομαι μήτηρ ἀλλά ὁ γε φέρτατος εἰμί ἐπεί πλείων ἀνάσσω,,,,,,,,,,,,,,,,,,,,,,,,,,
2274263,1.282,[1.282] Ἀτρεΐδη σὺ δὲ παῦε τεὸν μένος:,"Son of Atreus, check your rage.",Ἀτρείδης σύ δέ παύω τεός μένος,,,,,,,,,,,,,,,,,,,,,,,,,,
2274264,1.282-1.284,"[1.282] αὐτὰρ ἔγωγε [1.283] λίσσομ᾽ Ἀχιλλῆϊ μεθέμεν χόλον, ὃς μέγα πᾶσιν [1.284] ἕρκος Ἀχαιοῖσιν πέλεται πολέμοιο κακοῖο.","Indeed, I beg you to let go your anger against Achilles, who is for all the Achaeans a mighty bulwark in evil war.",ἀτάρ ἐγώ λίσσομαι Ἀχιλλεύς μεθίημι χόλος ὅς μέγας πᾶς ἕρκος Ἀχαιός πέλω πόλεμος κακός,,,,,,,,,,,,,,,,,,,,,,,,,,
2274265,1.285,[1.285] τὸν δ᾽ ἀπαμειβόμενος προσέφη κρείων Ἀγαμέμνων:,In answer to him spoke lord Agamemnon:,ὁ δέ ἀπαμείβομαι πρόσφημι κρείων Ἀγαμέμνων,,,,,,,,,,,,,,,,,,,,,,,,,,
2274266,1.286,[1.286] ναὶ δὴ ταῦτά γε πάντα γέρον κατὰ μοῖραν ἔειπες:,"All these things, old man, to be sure, you have spoken as is right.",ναί δή οὗτος γε πᾶς γέρων κατά μοῖρα εἶπον,,,,,,,,,,,,,,,,,,,,,,,,,,
2274267,1.287-1.289,"[1.287] ἀλλ᾽ ὅδ᾽ ἀνὴρ ἐθέλει περὶ πάντων ἔμμεναι ἄλλων, [1.288] πάντων μὲν κρατέειν ἐθέλει, πάντεσσι δ᾽ ἀνάσσειν, [1.289] πᾶσι δὲ σημαίνειν, ἅ τιν᾽ οὐ πείσεσθαι ὀΐω:","But this man wishes to be above all others; over all he wishes to rule and over all to be king, and to all to give orders; in this, I think, there is someone who will not obey.",ἀλλά ὅδε ἀνήρ ἐθέλω περί πᾶς εἰμί ἄλλος πᾶς μέν κρατέω ἐθέλω πᾶς δέ ἀνάσσω πᾶς δέ σημαίνω ὅς τις οὐ πείθω οἴομαι,,,,,,,,,,,,,,,,,,,,,,,,,,
2274268,1.290-1.291,[1.290] εἰ δέ μιν αἰχμητὴν ἔθεσαν θεοὶ αἰὲν ἐόντες [1.291] τοὔνεκά οἱ προθέουσιν ὀνείδεα μυθήσασθαι;,"If the gods who exist for ever made him a spearman, do they therefore license him 1 to keep uttering insults?",εἰ δέ μιν αἰχμητής τίθημι θεός ἀεί εἰμί τοὔνεκα ἕ προτίθημι ὄνειδος μυθέομαι,,,,,,,,,,,,,,,,,,,,,,,,,,
2274269,1.292,[1.292] τὸν δ᾽ ἄρ᾽ ὑποβλήδην ἠμείβετο δῖος Ἀχιλλεύς:,Brilliant Achilles broke in upon him and replied:,ὁ δέ ἄρα ὑποβλήδην ἀμείβω δῖος Ἀχιλλεύς,,,,,,,,,,,,,,,,,,,,,,,,,,
2274270,1.293-1.294,[1.293] ἦ γάρ κεν δειλός τε καὶ οὐτιδανὸς καλεοίμην [1.294] εἰ δὴ σοὶ πᾶν ἔργον ὑπείξομαι ὅττί κεν εἴπῃς:,"Surely I would be called cowardly and of no account, if I am to yield to you in every matter that you say.",ἦ γάρ ἄν δειλός τε καί οὐτιδανός καλέω εἰ δή σύ πᾶς ἔργον ὑπείκω ὅστις ἄν εἶπον,,,,,,,,,,,,,,,,,,,,,,,,,,
2274271,1.295-1.296,"[1.295] ἄλλοισιν δὴ ταῦτ᾽ ἐπιτέλλεο, μὴ γὰρ ἔμοιγε [1.296] σήμαιν᾽:","On others lay these commands, but do not give orders to me,",ἄλλος δή οὗτος ἐπιτέλλω μή γάρ ἐγώ σημαίνω,,,,,,,,,,,,,,,,,,,,,,,,,,
2274272,1.296,[1.296] οὐ γὰρ ἔγωγ᾽ ἔτι σοὶ πείσεσθαι ὀΐω.,for I do not think I shall obey you any longer.,οὐ γάρ ἐγώ ἔτι σύ πείθω οἴομαι,,,,,,,,,,,,,,,,,,,,,,,,,,
2274273,1.297,"[1.297] ἄλλο δέ τοι ἐρέω, σὺ δ᾽ ἐνὶ φρεσὶ βάλλεο σῇσι:","And another thing I will tell you, and take it to heart:",ἄλλος δέ σύ ἐρῶ σύ δέ ἐν φρήν βάλλω σός,,,,,,,,,,,,,,,,,,,,,,,,,,
2274274,1.298-1.299,"[1.298] χερσὶ μὲν οὔ τοι ἔγωγε μαχήσομαι εἵνεκα κούρης [1.299] οὔ τε σοὶ οὔτέ τῳ ἄλλῳ, ἐπεί μ᾽ ἀφέλεσθέ γε δόντες:","with my hands I will not fight for the girl's sake either with you nor with any other, since you are taking away what you have given.",χείρ μέν οὐ τοι ἐγώ μάχομαι ἕνεκα κόρη οὐ τε σύ οὔτε τις ἄλλος ἐπεί ἐγώ ἀφαιρέω γε δίδωμι,,,,,,,,,,,,,,,,,,,,,,,,,,
2274275,1.300-1.301,[1.300] τῶν δ᾽ ἄλλων ἅ μοί ἐστι θοῇ παρὰ νηῒ μελαίνῃ [1.301] τῶν οὐκ ἄν τι φέροις ἀνελὼν ἀέκοντος ἐμεῖο:,"But of all else that is mine by my swift black ship, nothing will you take or carry away against my will.",ὁ δέ ἄλλος ὅς ἐγώ εἰμί θοός παρά ναῦς μέλας ὁ οὐ ἄν τις φέρω ἀναιρέω ἀέκων ἐγώ,,,,,,,,,,,,,,,,,,,,,,,,,,
2274276,1.302,[1.302] εἰ δ᾽ ἄγε μὴν πείρησαι ἵνα γνώωσι καὶ οἵδε:,"Come, just try, so that these too may know:",εἰ δέ ἄγε μήν πειράω ἵνα γιγνώσκω καί ὅδε,,,,,,,,,,,,,,,,,,,,,,,,,,
2274277,1.303,[1.303] αἶψά τοι αἷμα κελαινὸν ἐρωήσει περὶ δουρί.,forthwith will your dark blood flow forth about my spear.,αἶψα σύ αἷμα κελαινός ἐρωέω περί δόρυ,,,,,,,,,,,,,,,,,,,,,,,,,,
2274278,1.304-1.305,"[1.304] ὣς τώ γ᾽ ἀντιβίοισι μαχεσσαμένω ἐπέεσσιν [1.305] ἀνστήτην, λῦσαν δ᾽ ἀγορὴν παρὰ νηυσὶν Ἀχαιῶν:","So when the two had made an end of contending with violent words, they rose, and broke up the gathering beside the ships of the Achaeans.",ὡς ὁ γε ἀντίβιος μάχομαι ἔπος ἀνίστημι λύω δέ ἀγορά παρά ναῦς Ἀχαιός,,,,,,,,,,,,,,,,,,,,,,,,,,
2274279,1.306-1.307,[1.306] Πηλεΐδης μὲν ἐπὶ κλισίας καὶ νῆας ἐΐσας [1.307] ἤϊε σύν τε Μενοιτιάδῃ καὶ οἷς ἑτάροισιν:,"The son of Peleus went his way to his huts and his balanced ships together with the son of Menoetius, and with his men;",Πηλείδης μέν ἐπί κλισία καί ναῦς ἔισος εἶμι σύν τε Μενοιτιάδης καί ἑός ἑταῖρος,,,,,,,,,,,,,,,,,,,,,,,,,,
2274280,1.308-1.311,"[1.308] Ἀτρεΐδης δ᾽ ἄρα νῆα θοὴν ἅλα δὲ προέρυσσεν, [1.309] ἐν δ᾽ ἐρέτας ἔκρινεν ἐείκοσιν, ἐς δ᾽ ἑκατόμβην [1.310] βῆσε θεῷ, ἀνὰ δὲ Χρυσηΐδα καλλιπάρῃον [1.311] εἷσεν ἄγων:","but the son of Atreus launched a swift ship on the sea, and chose for it twenty rowers, and drove on board a hecatomb for the god, and brought the fair-cheeked daughter of Chryses and set her in the ship;",Ἀτρείδης δέ ἄρα ναῦς θοός ἅλς δέ προερύω ἐν δέ ἐρέτης κρίνω εἴκοσι εἰς δέ ἑκατόμβη βαίνω θεός ἀνά δέ Χρυσηίς καλλιπάρηος ἵζω ἄγω,,,,,,,,,,,,,,,,,,,,,,,,,,
2274281,1.311,[1.311] ἐν δ᾽ ἀρχὸς ἔβη πολύμητις Ὀδυσσεύς.,and Odysseus of many wiles went on board to take command.,ἐν δέ ἀρχός βαίνω πολύμητις Ὀδυσσεύς,,,,,,,,,,,,,,,,,,,,,,,,,,
2274282,1.312-1.313,"[1.312] οἳ μὲν ἔπειτ᾽ ἀναβάντες ἐπέπλεον ὑγρὰ κέλευθα, [1.313] λαοὺς δ᾽ Ἀτρεΐδης ἀπολυμαίνεσθαι ἄνωγεν:",So these embarked and sailed over the watery ways; but the son of Atreus bade the people purify themselves.,ὁ μέν ἔπειτα ἀναβαίνω ἐπιπλέω ὑγρός κέλευθος λαός δέ Ἀτρείδης ἀπολυμαίνομαι ἄνωγα,,,,,,,,,,,,,,,,,,,,,,,,,,
2274283,1.314-1.316,"[1.314] οἳ δ᾽ ἀπελυμαίνοντο καὶ εἰς ἅλα λύματα βάλλον, [1.315] ἕρδον δ᾽ Ἀπόλλωνι τεληέσσας ἑκατόμβας [1.316] ταύρων ἠδ᾽ αἰγῶν παρὰ θῖν᾽ ἁλὸς ἀτρυγέτοιο:","And they purified themselves, and cast the defilement into the sea, and offered to Apollo perfect hecatombs of bulls and goats by the shore of the barren 1 sea;",ὁ δέ ἀπολυμαίνομαι καί εἰς ἅλς λῦμα βάλλω ἔρδω δέ Ἀπόλλων τελήεις ἑκατόμβη ταῦρος ἠδέ αἴξ παρά θίς ἅλς ἀτρύγετος,,,,,,,,,,,,,,,,,,,,,,,,,,
2274284,1.317,[1.317] κνίση δ᾽ οὐρανὸν ἷκεν ἑλισσομένη περὶ καπνῷ.,"and the savour thereof went up to heaven, eddying amid the smoke.",κνῖσα δέ οὐρανός ἱκνέομαι ἑλίσσω περί καπνός,,,,,,,,,,,,,,,,,,,,,,,,,,
2274285,1.318,[1.318] ὣς οἳ μὲν τὰ πένοντο κατὰ στρατόν:,Thus were they busied throughout the camp;,ὡς ὁ μέν ὁ πένομαι κατά στρατός,,,,,,,,,,,,,,,,,,,,,,,,,,
2274286,1.318-1.321,"[1.318] οὐ δ᾽ Ἀγαμέμνων [1.319] λῆγ᾽ ἔριδος τὴν πρῶτον ἐπηπείλησ᾽ Ἀχιλῆϊ, [1.320] ἀλλ᾽ ὅ γε Ταλθύβιόν τε καὶ Εὐρυβάτην προσέειπε, [1.321] τώ οἱ ἔσαν κήρυκε καὶ ὀτρηρὼ θεράποντε:","but Agamemnon did not cease from the strife with which he had first threatened Achilles, but called to Talthybius and Eurybates, who were his heralds and ready squires:",οὐ δέ Ἀγαμέμνων λήγω ἔρις ὁ πρῶτος ἐπαπειλέω Ἀχιλλεύς ἀλλά ὁ γε Ταλθύβιος τε καί Εὐρυβάτης προσεῖπον ὁ ἕ εἰμί κῆρυξ καί ὀτρηρός θεράπων,,,,,,,,,,,,,,,,,,,,,,,,,,
2274287,1.322,[1.322] ἔρχεσθον κλισίην Πηληϊάδεω Ἀχιλῆος:,"Go to the hut of Achilles, Peleus' son,",ἔρχομαι κλισία Πηληιάδης Ἀχιλλεύς,,,,,,,,,,,,,,,,,,,,,,,,,,
2274288,1.323,[1.323] χειρὸς ἑλόντ᾽ ἀγέμεν Βρισηΐδα καλλιπάρῃον:,"and take by the hand the fair-cheeked Briseis, and lead her hither;",χείρ αἱρέω ἄγω Βρισηίς καλλιπάρηος,,,,,,,,,,,,,,,,,,,,,,,,,,
2274289,1.324-1.325,[1.324] εἰ δέ κε μὴ δώῃσιν ἐγὼ δέ κεν αὐτὸς ἕλωμαι [1.325] ἐλθὼν σὺν πλεόνεσσι:,"and if he give her not, I will myself go with a larger company and take her;",εἰ δέ ἄν μή δίδωμι ἐγώ δέ ἄν αὐτός αἱρέω ἔρχομαι σύν πλείων,,,,,,,,,,,,,,,,,,,,,,,,,,
2274290,1.325,[1.325] τό οἱ καὶ ῥίγιον ἔσται.,that will be even the worse for him.,ὁ ἕ καί ῥίγιον εἰμί,,,,,,,,,,,,,,,,,,,,,,,,,,
2274291,1.326,"[1.326] ὣς εἰπὼν προΐει, κρατερὸν δ᾽ ἐπὶ μῦθον ἔτελλε:","So saying he sent them forth, and laid upon them a stern command.",ὡς εἶπον προίημι κρατερός δέ ἐπί μῦθος τέλλω,,,,,,,,,,,,,,,,,,,,,,,,,,
2274292,1.327-1.330,"[1.327] τὼ δ᾽ ἀέκοντε βάτην παρὰ θῖν᾽ ἁλὸς ἀτρυγέτοιο, [1.328] Μυρμιδόνων δ᾽ ἐπί τε κλισίας καὶ νῆας ἱκέσθην, [1.329] τὸν δ᾽ εὗρον παρά τε κλισίῃ καὶ νηῒ μελαίνῃ [1.330] ἥμενον:","Unwilling went the two along the shore of the barren sea, and came to the tents and the ships of the Myrmidons. Him they found sitting beside his tent and his black ship;",ὁ δέ ἀέκων βαίνω παρά θίς ἅλς ἀτρύγετος Μυρμιδόνες δέ ἐπί τε κλισία καί ναῦς ἱκνέομαι ὁ δέ εὑρίσκω παρά τε κλισία καί ναῦς μέλας ἧμαι,,,,,,,,,,,,,,,,,,,,,,,,,,
2274293,1.33,[1.330] οὐ δ᾽ ἄρα τώ γε ἰδὼν γήθησεν Ἀχιλλεύς.,and Achilles was not glad at sight of them.,οὐ δέ ἄρα ὁ γε εἶδον γηθέω Ἀχιλλεύς,,,,,,,,,,,,,,,,,,,,,,,,,,
2274294,1.331-1.332,"[1.331] τὼ μὲν ταρβήσαντε καὶ αἰδομένω βασιλῆα [1.332] στήτην, οὐ δέ τί μιν προσεφώνεον οὐ δ᾽ ἐρέοντο:","The two, seized with dread and in awe of the king, stood, and spoke no word to him, nor made question;",ὁ μέν ταρβέω καί αἰδέομαι βασιλεύς ἵστημι οὐ δέ τις μιν προσφωνέω οὐ δέ ἔρομαι,,,,,,,,,,,,,,,,,,,,,,,,,,
2274295,1.333,[1.333] αὐτὰρ ὃ ἔγνω ᾗσιν ἐνὶ φρεσὶ φώνησέν τε:,"but he knew in his heart, and spoke:",ἀτάρ ὁ γιγνώσκω ἑός ἐν φρήν φωνέω τε,,,,,,,,,,,,,,,,,,,,,,,,,,
2274296,1.334-1.335,"[1.334] χαίρετε κήρυκες Διὸς ἄγγελοι ἠδὲ καὶ ἀνδρῶν, [1.335] ἆσσον ἴτ᾽: [0]","Hail, heralds, messengers of Zeus and men, draw near.",χαίρω κῆρυξ Ζεύς ἄγγελος ἠδέ καί ἀνήρ ἆσσον εἶμι,,,,,,,,,,,,,,,,,,,,,,,,,,
2274297,1.335-1.336,"[1.335] οὔ τί μοι ὔμμες ἐπαίτιοι ἀλλ᾽ Ἀγαμέμνων, [1.336] ὃ σφῶϊ προΐει Βρισηΐδος εἵνεκα κούρης. [0] [1]","It is not you who are guilty in my sight, but Agamemnon, who sent you forth for the sake of the girl, Briseis.",οὐ τις ἐγώ σύ ἐπαίτιος ἀλλά Ἀγαμέμνων ὁ σύ προίημι Βρισηίς ἕνεκα κόρη,,,,,,,,,,,,,,,,,,,,,,,,,,
2274298,1.337-1.338,[1.337] ἀλλ᾽ ἄγε διογενὲς Πατρόκλεες ἔξαγε κούρην [1.338] καί σφωϊν δὸς ἄγειν:,"But come, Patroclus, sprung from Zeus, bring forth the girl, and give her to them to lead away.",ἀλλά ἄγε διογενής Πάτροκλος ἐξάγω κόρη καί σφεῖς δίδωμι ἄγω,,,,,,,,,,,,,,,,,,,,,,,,,,
2274299,1.338-1.342,[1.338] τὼ δ᾽ αὐτὼ μάρτυροι ἔστων [1.339] πρός τε θεῶν μακάρων πρός τε θνητῶν ἀνθρώπων [1.340] καὶ πρὸς τοῦ βασιλῆος ἀπηνέος εἴ ποτε δ᾽ αὖτε [1.341] χρειὼ ἐμεῖο γένηται ἀεικέα λοιγὸν ἀμῦναι [1.342] τοῖς ἄλλοις:,"However, let these two themselves be witnesses before the blessed gods and mortal men, and before him, that ruthless king, if hereafter there shall be need of me to ward off shameful ruin from the host.",ὁ δέ αὐτός μάρτυρος εἰμί πρός τε θεός μάκαρος πρός τε θνητός ἄνθρωπος καί πρός ὁ βασιλεύς ἀπηνής εἰ ποτέ δέ αὖτε χρεώ ἐγώ γίγνομαι ἀεικής λοιγός ἀμύνω ὁ ἄλλος,,,,,,,,,,,,,,,,,,,,,,,,,,
