Serial # in Treebank,Citation,Greek text,English,Lemmas
2187232,7.25-7.26,"[7.25] τῷ οὔ τινα οἶδα [7.26] ἀνθρώπων, οἳ τήνδε πόλιν καὶ γαῖαν ἔχουσιν.&#34;",wherefore I know no one of the people who possess this city and land.,τῷ οὐ τις οἶδα ἄνθρωπος ὅς ὅδε πόλις καί γαῖα ἔχω θυοτε
2187233,7.27,"[7.27] τὸν δ᾽ αὖτε προσέειπε θεά, γλαυκῶπις Ἀθήνη:","Then the goddess, flashing-eyed Athena, answered him:",ὁ δέ αὖτε προσεῖπον θεά γλαυκῶπις Ἀθήνη
2187234,7.28-7.29,"&#34; [7.28] τοιγὰρ ἐγώ τοι, ξεῖνε πάτερ, δόμον, ὅν με κελεύεις, [7.29] δείξω, ἐπεί μοι πατρὸς ἀμύμονος ἐγγύθι ναίει. [0] [1]","Then verily, Sir stranger, I will shew thee the palace as thou dost bid me, for it lies hard by the house of my own noble father.",θυοτε τοιγάρ ἐγώ σύ ξένος2 πάτηρ δόμος ὅς ἐγώ κελεύω δείκνυμι ἐπεί ἐγώ πατήρ ἀμύμων ἐγγύθι ναίω
2187235,7.30-7.31,"[7.30] ἀλλ᾽ ἴθι σιγῇ τοῖον, ἐγὼ δ᾽ ὁδὸν ἡγεμονεύσω, [7.31] μη δέ τιν᾽ ἀνθρώπων προτιόσσεο μη δ᾽ ἐρέεινε.","Only go thou quietly, and I will lead the way. But turn not thine eyes upon any man nor question any,",ἀλλά εἶμι σιγή τοῖος ἐγώ δέ ὁδός2 ἡγεμονεύω μή δέ τις ἄνθρωπος προτιόσσομαι μή δέ ἐρεείνω
2187236,7.32-7.33,"[7.32] οὐ γὰρ ξείνους οἵδε μάλ᾽ ἀνθρώπους ἀνέχονται, [7.33] οὐ δ᾽ ἀγαπαζόμενοι φιλέουσ᾽ ὅς κ᾽ ἄλλοθεν ἔλθῃ.","for the men here endure not stranger-folk, nor do they give kindly welcome to him who comes from another land.",οὐ γάρ ξένος2 ὅδε μάλα ἄνθρωπος ἀνέχω οὐ δέ ἀγαπάζω φιλέω ὅς ἄν ἄλλοθεν ἔρχομαι
2187237,7.34-7.35,"[7.34] νηυσὶ θοῇσιν τοί γε πεποιθότες ὠκείῃσι [7.35] λαῖτμα μέγ᾽ ἐκπερόωσιν, ἐπεί σφισι δῶκ᾽ ἐνοσίχθων:","They, indeed, trusting in the speed of their swift ships, cross over the great gulf of the sea, for this the Earth-shaker has granted them;",ναῦς θοός ὁ γε πείθω ὠκύς λαῖτμα μέγας ἐκπεράω ἐπεί σφεῖς δίδωμι Ἐνοσίχθων
2187238,7.36,[7.36] τῶν νέες ὠκεῖαι ὡς εἰ πτερὸν ἠὲ νόημα.&#34; [0] [1],and their ships are swift as a bird on the wing or as a thought.,ὁ ναῦς ὠκύς ὡς εἰ πτερόν ἤ νόημα θυοτε
2187239,7.37-7.38,[7.37] ὣς ἄρα φωνήσασ᾽ ἡγήσατο Παλλὰς Ἀθήνη [7.38] καρπαλίμως:,"So speaking, Pallas Athena led the way quickly,",ὡς ἄρα φωνέω ἡγέομαι Παλλάς Ἀθήνη καρπάλιμος
2187240,7.38,[7.38] ὁ δ᾽ ἔπειτα μετ᾽ ἴχνια βαῖνε θεοῖο.,and he followed in the footsteps of the goddess.,ὁ δέ ἔπειτα μετά ἴχνιον βαίνω θεός
2187241,7.39-7.40,[7.39] τὸν δ᾽ ἄρα Φαίηκες ναυσικλυτοὶ οὐκ ἐνόησαν [7.40] ἐρχόμενον κατὰ ἄστυ διὰ σφέας:,"And as he went through the city in the midst of them, the Phaeacians, famed for their ships, took no heed of him,",ὁ δέ ἄρα Φαίαξ ναυσικλυτός οὐ νοέω ἔρχομαι κατά ἄστυ διά σφεῖς
2187242,7.40-7.42,"[7.40] οὐ γὰρ Ἀθήνη [7.41] εἴα ἐυπλόκαμος, δεινὴ θεός, ἥ ῥά οἱ ἀχλὺν [7.42] θεσπεσίην κατέχευε φίλα φρονέουσ᾽ ἐνὶ θυμῷ.","for fair-tressed Athena, the dread goddess, would not suffer it, but shed about him a wondrous mist, for her heart was kind toward him.",οὐ γάρ Ἀθήνη ἐάω εὐπλόκαμος δεινός θεός ὅς ἄρα ἕ ἀχλύς θεσπέσιος καταχεύω φίλος φρονέω ἐν θυμός
2187243,7.43-7.45,"[7.43] θαύμαζεν δ᾽ Ὀδυσεὺς λιμένας καὶ νῆας ἐίσας [7.44] αὐτῶν θ᾽ ἡρώων ἀγορὰς καὶ τείχεα μακρὰ [7.45] ὑψηλά, σκολόπεσσιν ἀρηρότα, θαῦμα ἰδέσθαι.","And Odysseus marvelled at the harbors and the stately ships, at the meeting-places where the heroes themselves gathered, and the walls, long and high and crowned with palisades, a wonder to behold.",θαυμάζω δέ Ὀδυσσεύς λιμήν καί ναῦς ἔισος αὐτός τε ἥρως ἀγορά καί τεῖχος μακρός ὑψηλός σκόλοψ ἀραρίσκω θαῦμα εἶδον
2187244,7.46-7.47,"[7.46] ἀλλ᾽ ὅτε δὴ βασιλῆος ἀγακλυτὰ δώμαθ᾽ ἵκοντο, [7.47] τοῖσι δὲ μύθων ἦρχε θεά, γλαυκῶπις Ἀθήνη:","But when they had come to the glorious palace of the king, the goddess, flashing-eyed Athena, was the first to speak, saying:",ἀλλά ὅτε δή βασιλεύς ἀγακλυτός δῶμα ἱκνέομαι ὁ δέ μῦθος ἄρχω θεά γλαυκῶπις Ἀθήνη
2187245,7.48-7.49,"&#34; [7.48] οὗτος δή τοι, ξεῖνε πάτερ, δόμος, ὅν με κελεύεις [7.49] πεφραδέμεν: [0]","Here, Sir stranger, is the house which thou didst bid me shew to thee,",θυοτε οὗτος δή τοι ξένος2 πάτηρ δόμος ὅς ἐγώ κελεύω φράζω
2187246,7.49-7.50,[7.49] δήεις δὲ διοτρεφέας βασιλῆας [7.50] δαίτην δαινυμένους:,"and thou wilt find the kings, fostered of Zeus, feasting at the banquet.",δήω δέ Διοτρεφής βασιλεύς δαίτη δαίνυμι
2187247,7.50-7.51,"[7.50] σὺ δ᾽ ἔσω κίε, μη δέ τι θυμῷ [7.51] τάρβει:","Go thou within, and let thy heart fear nothing;",σύ δέ ἔσω κίω μή δέ τις θυμός ταρβέω
2187248,7.51-7.52,"[7.51] θαρσαλέος γὰρ ἀνὴρ ἐν πᾶσιν ἀμείνων [7.52] ἔργοισιν τελέθει, εἰ καί ποθεν ἄλλοθεν ἔλθοι.","for a bold man is better in all things, though he be a stranger from another land.",θαρσαλέος γάρ ἀνήρ ἐν πᾶς ἀμείνων ἔργον τελέθω εἰ καί ποθεν ἄλλοθεν ἔρχομαι
2187249,7.53,[7.53] δέσποιναν μὲν πρῶτα κιχήσεαι ἐν μεγάροισιν:,The queen shalt thou approach first in the palace;,δέσποινα μέν πρῶτος κιχάνω ἐν μέγαρον
2187250,7.54-7.55,"[7.54] Ἀρήτη δ᾽ ὄνομ᾽ ἐστὶν ἐπώνυμον, ἐκ δὲ τοκήων [7.55] τῶν αὐτῶν οἵ περ τέκον Ἀλκίνοον βασιλῆα. [0]","Arete is the name by which she is called, and she is sprung from the same line as is the king Alcinous.",Ἀρήτη δέ ὄνομα εἰμί ἐπώνυμος ἐκ δέ τοκεύς ὁ αὐτός ὅς πέρ τίκτω Ἀλκίνοος βασιλεύς
2187251,7.56-7.59,"[7.56] Ναυσίθοον μὲν πρῶτα Ποσειδάων ἐνοσίχθων [7.57] γείνατο καὶ Περίβοια, γυναικῶν εἶδος ἀρίστη, [7.58] ὁπλοτάτη θυγάτηρ μεγαλήτορος Εὐρυμέδοντος, [7.59] ὅς ποθ᾽ ὑπερθύμοισι Γιγάντεσσιν βασίλευεν.","Nausithous at the first was born from the earth-shaker Poseidon and Periboea, the comeliest of women, youngest daughter of great-hearted Eurymedon, who once was king over the insolent Giants.",Ναυσίθοος μέν πρῶτος Ποσειδεών Ἐνοσίχθων γείνομαι καί Περίβοια γυνή εἶδος ἄριστος ὁπλότατος θυγάτηρ μεγαλήτωρ Εὐρυμέδων ὅς ποτέ ὑπέρθυμος Γίγας βασιλεύω
2187252,7.6,"[7.60] ἀλλ᾽ ὁ μὲν ὤλεσε λαὸν ἀτάσθαλον, ὤλετο δ᾽ αὐτός:","But he brought destruction on his froward people, and was himself destroyed.",ἀλλά ὁ μέν ὄλλυμι λαός ἀτάσθαλος ὄλλυμι δέ αὐτός
2187253,7.61-7.62,"[7.61] τῇ δὲ Ποσειδάων ἐμίγη καὶ ἐγείνατο παῖδα [7.62] Ναυσίθοον μεγάθυμον, ὃς ἐν Φαίηξιν ἄνασσε: [0]","But with Periboea lay Poseidon and begat a son, great-hearted Nausithous, who ruled over the Phaeacians;",ὁ δέ Ποσειδεών μίγνυμι καί γείνομαι παῖς Ναυσίθοος μεγάθυμος ὅς ἐν Φαίαξ ἀνάσσω
2187254,7.63,[7.63] Ναυσίθοος δ᾽ ἔτεκεν Ῥηξήνορά τ᾽ Ἀλκίνοόν τε.,and Nausithous begat Rhexenor and Alcinous.,Ναυσίθοος δέ τίκτω Ῥηξήνωρ τε Ἀλκίνοος τε
2187255,7.64-7.66,"[7.64] τὸν μὲν ἄκουρον ἐόντα βάλ᾽ ἀργυρότοξος Ἀπόλλων [7.65] νυμφίον ἐν μεγάρῳ, μίαν οἴην παῖδα λιπόντα [7.66] Ἀρήτην: [0] [1]","Rhexenor, when as yet he had no son, Apollo of the silver bow smote in his hall, a bridegroom though he was, and he left only one daughter, Arete.",ὁ μέν ἄκουρος εἰμί βάλλω ἀργυρότοξος Ἀπόλλων νυμφίος ἐν μέγαρον εἷς οἶος παῖς λείπω Ἀρήτη
2187256,7.66-7.68,"[7.66] τὴν δ᾽ Ἀλκίνοος ποιήσατ᾽ ἄκοιτιν, [7.67] καί μιν ἔτισ᾽, ὡς οὔ τις ἐπὶ χθονὶ τίεται ἄλλη, [7.68] ὅσσαι νῦν γε γυναῖκες ὑπ᾽ ἀνδράσιν οἶκον ἔχουσιν.","Her Alcinous made his wife, and honored her as no other woman on earth is honored, of all those who in these days direct their households in subjection to their husbands;",ὁ δέ Ἀλκίνοος ποιέω ἄκοιτις καί μιν τίνω ὡς οὐ τις ἐπί χθών τίω ἄλλος ὅσος νῦν γε γυνή ὑπό ἀνήρ οἶκος ἔχω
2187257,7.69-7.72,"[7.69] ὣς κείνη περὶ κῆρι τετίμηταί τε καὶ ἔστιν [7.70] ἔκ τε φίλων παίδων ἔκ τ᾽ αὐτοῦ Ἀλκινόοιο [7.71] καὶ λαῶν, οἵ μίν ῥα θεὸν ὣς εἰσορόωντες [7.72] δειδέχαται μύθοισιν, ὅτε στείχῃσ᾽ ἀνὰ ἄστυ. [0]","so heartily is she honored, and has ever been, by her children and by Alcinous himself and by the people, who look upon her as upon a goddess, and greet her as she goes through the city.",ὡς κεῖνος περί κῆρ τιμάω τε καί εἰμί ἐκ τε φίλος παῖς ἐκ τε αὐτός Ἀλκίνοος καί λαός ὅς μιν ἄρα θεός ὡς εἰσοράω δέχομαι μῦθος ὅτε στείχω ἀνά ἄστυ
2187258,7.73,[7.73] οὐ μὲν γάρ τι νόου γε καὶ αὐτὴ δεύεται ἐσθλοῦ:,"For she of herself is no wise lacking in good understanding,",οὐ μέν γάρ τις νόος γε καί αὐτός δέω2 ἐσθλός
2187259,7.74,[7.74] ᾗσι τ᾽ ἐὺ φρονέῃσι καὶ ἀνδράσι νείκεα λύει.,and for the women 1 to whom she has good will she makes an end of strife even among their husbands.,ὅς τε εὖ φρονέω καί ἀνήρ νεῖκος λύω
2187260,7.75-7.77,"[7.75] εἴ κέν τοι κείνη γε φίλα φρονέῃσ᾽ ἐνὶ θυμῷ, [7.76] ἐλπωρή τοι ἔπειτα φίλους τ᾽ ἰδέειν καὶ ἱκέσθαι [7.77] οἶκον ἐς ὑψόροφον καὶ σὴν ἐς πατρίδα γαῖαν.&#34; [0]","If in her sight thou dost win favour, then there is hope that thou wilt see thy friends, and return to thy high-roofed house and unto thy native land.",εἰ ἄν σύ κεῖνος γε φίλος φρονέω ἐν θυμός ἐλπωρή σύ ἔπειτα φίλος τε εἶδον καί ἱκνέομαι οἶκος εἰς ὑψόροφος καί σός εἰς πατρίς γαῖα θυοτε
2187261,7.78-7.81,"[7.78] ὣς ἄρα φωνήσασ᾽ ἀπέβη γλαυκῶπις Ἀθήνη [7.79] πόντον ἐπ᾽ ἀτρύγετον, λίπε δὲ Σχερίην ἐρατεινήν, [7.80] ἵκετο δ᾽ ἐς Μαραθῶνα καὶ εὐρυάγυιαν Ἀθήνην, [7.81] δῦνε δ᾽ Ἐρεχθῆος πυκινὸν δόμον.","So saying, flashing-eyed Athena departed over the unresting sea, and left lovely Scheria . She came to Marathon and broad-wayed Athens , and entered the well-built house of Erectheus;",ὡς ἄρα φωνέω ἀποβαίνω γλαυκῶπις Ἀθήνη πόντος ἐπί ἀτρύγετος λείπω δέ Σχερία ἐρατεινός ἱκνέομαι δέ εἰς Μαραθών καί εὐρυάγυια Ἀθῆναι δύω2 δέ Ἐρεχθεύς πυκινός δόμος
2187262,7.81-7.82,[7.81] αὐτὰρ Ὀδυσσεὺς [7.82] Ἀλκινόου πρὸς δώματ᾽ ἴε κλυτά:,but Odysseus went to the glorious palace of Alcinous.,ἀτάρ Ὀδυσσεύς ʼἀλκίνοος πρός δῶμα εἶμι κλυτός
2187263,7.82-7.83,"[7.82] πολλὰ δέ οἱ κῆρ [7.83] ὥρμαιν᾽ ἱσταμένῳ, πρὶν χάλκεον οὐδὸν ἱκέσθαι.","There he stood, and his heart pondered much before he reached the threshold of bronze;",πολύς δέ ἕ κῆρ ὁρμαίνω ἵστημι πρίν χάλκεος οὐδός ἱκνέομαι
2187264,7.84-7.85,[7.84] ὥς τε γὰρ ἠελίου αἴγλη πέλεν ἠὲ σελήνης [7.85] δῶμα καθ᾽ ὑψερεφὲς μεγαλήτορος Ἀλκινόοιο.,for there was a gleam as of sun or moon over the high-roofed house of great-hearted Alcinous.,ὡς τε γάρ ἠέλιος αἴγλη πέλω ἤ σελήνη δῶμα κατά ὑψερεφής μεγαλήτωρ Ἀλκίνοος
2187265,7.86-7.87,"[7.86] χάλκεοι μὲν γὰρ τοῖχοι ἐληλέδατ᾽ ἔνθα καὶ ἔνθα, [7.87] ἐς μυχὸν ἐξ οὐδοῦ, περὶ δὲ θριγκὸς κυάνοιο: [0] [1]","Of bronze were the walls that stretched this way and that from the threshold to the innermost chamber, and around was a cornice of cyanus. 2",χάλκεος μέν γάρ τοῖχος ἐλαύνω ἔνθα καί ἔνθα εἰς μυχός ἐκ οὐδός περί δέ θριγκός κύανος
2187266,7.88,[7.88] χρύσειαι δὲ θύραι πυκινὸν δόμον ἐντὸς ἔεργον:,"Golden were the doors that shut in the well-built house,",χρύσεος δέ θύρα πυκινός δόμος ἐντός ἔργω
2187267,7.89-7.90,"[7.89] σταθμοὶ δ᾽ ἀργύρεοι ἐν χαλκέῳ ἕστασαν οὐδῷ, [7.90] ἀργύρεον δ᾽ ἐφ᾽ ὑπερθύριον, χρυσέη δὲ κορώνη. [0] [1]","and doorposts of silver were set in a threshold of bronze. Of silver was the lintel above, and of gold the handle.",σταθμός δέ ἀργύρεος ἐν χάλκεος ἵστημι οὐδός ἀργύρεος δέ ἐπί ὑπερθύριον χρύσεος δέ κορώνη
2187268,7.91-7.94,"[7.91] χρύσειοι δ᾽ ἑκάτερθε καὶ ἀργύρεοι κύνες ἦσαν, [7.92] οὓς Ἥφαιστος ἔτευξεν ἰδυίῃσι πραπίδεσσι [7.93] δῶμα φυλασσέμεναι μεγαλήτορος Ἀλκινόοιο, [7.94] ἀθανάτους ὄντας καὶ ἀγήρως ἤματα πάντα.","On either side of the door there stood gold and silver dogs, which Hephaestus had fashioned with cunning skill to guard the palace of great-hearted Alcinous; immortal were they and ageless all their days. 3",χρύσεος δέ ἑκάτερθε καί ἀργύρεος κύων εἰμί ὅς Ἥφαιστος τεύχω ἰδυῖα πραπίδες δῶμα φυλάσσω μεγαλήτωρ Ἀλκίνοος ἀθάνατος εἰμί καί ἀγήραος ἦμαρ πᾶς
2187269,7.95-7.97,"[7.95] ἐν δὲ θρόνοι περὶ τοῖχον ἐρηρέδατ᾽ ἔνθα καὶ ἔνθα, [7.96] ἐς μυχὸν ἐξ οὐδοῖο διαμπερές, ἔνθ᾽ ἐνὶ πέπλοι [7.97] λεπτοὶ ἐύννητοι βεβλήατο, ἔργα γυναικῶν. [0] [1]","Within, seats were fixed along the wall on either hand, from the threshold to the innermost chamber, and on them were thrown robes of soft fabric, cunningly woven, the handiwork of women.",ἐν δέ θρόνος περί τοῖχος ἐρείδω ἔνθα καί ἔνθα εἰς μυχός ἐκ οὐδός διαμπερές ἔνθα ἐν πέπλος λεπτός ἐύννητος βάλλω ἔργον γυνή
2187270,7.98-7.99,[7.98] ἔνθα δὲ Φαιήκων ἡγήτορες ἑδριόωντο [7.99] πίνοντες καὶ ἔδοντες:,"On these the leaders of the Phaeacians were wont to sit drinking and eating,",ἔνθα δέ Φαίαξ ἡγήτωρ ἑδριάω πίνω καί ἔδω
2187271,7.99,[7.99] ἐπηετανὸν γὰρ ἔχεσκον.,for they had unfailing store.,ἐπηετανός γάρ ἔχω
2187272,7.100-7.102,"[7.100] χρύσειοι δ᾽ ἄρα κοῦροι ἐυδμήτων ἐπὶ βωμῶν [7.101] ἕστασαν αἰθομένας δαΐδας μετὰ χερσὶν ἔχοντες, [7.102] φαίνοντες νύκτας κατὰ δώματα δαιτυμόνεσσι.","And golden youths stood on well-built pedestals, holding lighted torches in their hands to give light by night to the banqueters in the hall.",χρύσεος δέ ἄρα κοῦρος εὔδμητος ἐπί βωμός ἵστημι αἴθω δαίς μετά χείρ ἔχω φαίνω νύξ κατά δῶμα δαιτυμών
2187273,7.103-7.106,"[7.103] πεντήκοντα δέ οἱ δμωαὶ κατὰ δῶμα γυναῖκες [7.104] αἱ μὲν ἀλετρεύουσι μύλῃς ἔπι μήλοπα καρπόν, [7.105] αἱ δ᾽ ἱστοὺς ὑφόωσι καὶ ἠλάκατα στρωφῶσιν [7.106] ἥμεναι, οἷά τε φύλλα μακεδνῆς αἰγείροιο: [0] [1]","And fifty slave-women he had in the house, of whom some grind the yellow grain on the millstone, and others weave webs, or, as they sit, twirl the yarn, like unto the leaves 1 of a tall poplar tree;",πεντήκοντα δέ ἕ δμωή κατά δῶμα γυνή ὁ μέν ἀλετρεύω μύλη ἐπί μήλωψ καρπός ὁ δέ ἱστός ὑφαίνω καί ἠλάκατα στρωφάω ἧμαι οἷος τε φύλλον μακεδνός αἴγειρος
2187274,7.108-7.110,[7.107] καιρουσσέων δ᾽ ὀθονέων ἀπολείβεται ὑγρὸν ἔλαιον.,"For as the Phaeacian men are skilled above all others in speeding a swift ship upon the sea, so are the women cunning workers at the loom,",καίριος δέ ὀθόνη ἀπολείβω ὑγρός ἔλαιον
2187276,7.110-7.111,[7.110] πέρι γάρ σφισι δῶκεν Ἀθήνη [7.111] ἔργα τ᾽ ἐπίστασθαι περικαλλέα καὶ φρένας ἐσθλάς.,"for Athena has given to them above all others skill in fair handiwork, and an understanding heart.",περί γάρ σφεῖς δίδωμι Ἀθήνη ἔργον τε ἐπίσταμαι περικαλλής καί φρήν ἐσθλός
2187277,7.112-7.113,[7.112] ἔκτοσθεν δ᾽ αὐλῆς μέγας ὄρχατος ἄγχι θυράων [7.113] τετράγυος: [1] [0],"But without the courtyard, hard by the door, is a great orchard of four acres, 3",ἔκτοσθε δέ αὐλή μέγας ὄρχατος ἄγχι θύρα τετράγυος
2187278,7.113,[7.113] περὶ δ᾽ ἕρκος ἐλήλαται ἀμφοτέρωθεν.,and a hedge runs about it on either side.,περί δέ ἕρκος ἐλαύνω ἀμφοτέρωθεν
2187279,7.114-7.116,"[7.114] ἔνθα δὲ δένδρεα μακρὰ πεφύκασι τηλεθόωντα, [7.115] ὄγχναι καὶ ῥοιαὶ καὶ μηλέαι ἀγλαόκαρποι [7.116] συκέαι τε γλυκεραὶ καὶ ἐλαῖαι τηλεθόωσαι.","Therein grow trees, tall and luxuriant, pears and pomegranates and apple-trees with their bright fruit, and sweet figs, and luxuriant olives.",ἔνθα δέ δένδρεον μακρός φύω τηλεθάω ὄγχνη καί ῥοιά καί μηλέα ἀγλαόκαρπος συκῆ τε γλυκύς καί ἐλαία τηλεθάω
2187280,7.117-7.118,"[7.117] τάων οὔ ποτε καρπὸς ἀπόλλυται [7.117 urn:cts:greekLit:tlg0012.tlg002:7.118] οὐ δ᾽ ἀπολείπει χείματος οὐ δὲ [7.118] θέρευς, ἐπετήσιος:","Of these the fruit perishes not nor fails in winter or in summer, but lasts throughout the year;",ὁ οὐ ποτέ καρπός ἀπόλλυμι οὐ δέ ἀπολείπω χεῖμα οὐ δέ θέρος ἐπετήσιος
2187281,7.118-7.119,"[7.118] ἀλλὰ μάλ᾽ αἰεὶ [7.119] Ζεφυρίη πνείουσα τὰ μὲν φύει, ἄλλα δὲ πέσσει.","and ever does the west wind, as it blows, quicken to life some fruits, and ripen others;",ἀλλά μάλα ἀεί Ζεφυρίη πνέω ὁ μέν φύω ἄλλος δέ πέσσω
2187282,7.120-7.121,"[7.120] ὄγχνη ἐπ᾽ ὄγχνῃ γηράσκει, μῆλον δ᾽ ἐπὶ μήλῳ, [7.121] αὐτὰρ ἐπὶ σταφυλῇ σταφυλή, σῦκον δ᾽ ἐπὶ σύκῳ. [0] [1] [2]","pear upon pear waxes ripe, apple upon apple, cluster upon cluster, and fig upon fig.",ὄγχνη ἐπί ὄγχνη γηράσκω μῆλον2 δέ ἐπί μῆλον2 ἀτάρ ἐπί σταφυλή σταφυλή σῦκον δέ ἐπί σῦκον
2187283,7.122-7.125,"[7.122] ἔνθα δέ οἱ πολύκαρπος ἀλωὴ ἐρρίζωται, [7.123] τῆς ἕτερον μὲν θειλόπεδον λευρῷ ἐνὶ χώρῳ [7.124] τέρσεται ἠελίῳ, ἑτέρας δ᾽ ἄρα τε τρυγόωσιν, [7.125] ἄλλας δὲ τραπέουσι:","There, too, is his fruitful vineyard planted, one part of which, a warm spot on level ground, is being dried in the sun, while other grapes men are gathering, and others, too, they are treading;",ἔνθα δέ ἕ πολύκαρπος ἀλωή ῥιζόω ὁ ἕτερος μέν θειλόπεδον λευρός ἐν χῶρος τέρσομαι ἠέλιος ἕτερος δέ ἄρα τε τρυγάω ἄλλος δέ τραπέω
2187284,7.125-7.126,"[7.125] πάροιθε δέ τ᾽ ὄμφακές εἰσιν [7.126] ἄνθος ἀφιεῖσαι, ἕτεραι δ᾽ ὑποπερκάζουσιν.","but in front are unripe grapes that are shedding the blossom, and others that are turning purple.",πάροιθε δέ τε ὄμφαξ εἰμί ἄνθος ἀφίημι ἕτερος δέ ὑποπερκάζω
2187285,7.127-7.128,"[7.127] ἔνθα δὲ κοσμηταὶ πρασιαὶ παρὰ νείατον ὄρχον [7.128] παντοῖαι πεφύασιν, ἐπηετανὸν γανόωσαι:","There again, by the last row of the vines, grow trim garden beds of every sort, blooming the year through,",ἔνθα δέ κοσμητός πρασιά παρά νέατος ὄρχος παντοῖος φύω ἐπηετανός γανάω
2187286,7.129-7.131,"[7.129] ἐν δὲ δύω κρῆναι ἡ μέν τ᾽ ἀνὰ κῆπον ἅπαντα [7.130] σκίδναται, ἡ δ᾽ ἑτέρωθεν ὑπ᾽ αὐλῆς οὐδὸν ἵησι [7.131] πρὸς δόμον ὑψηλόν, ὅθεν ὑδρεύοντο πολῖται. [1] [0]","and therein are two springs, one of which sends its water throughout all the garden, while the other, over against it, flows beneath the threshold of the court toward the high house; from this the townsfolk drew their water.",ἐν δέ δύο κρήνη ὁ μέν τε ἀνά κῆπος ἅπας σκίδνημι ὁ δέ ἑτέρωθεν ὑπό αὐλή οὐδός ἵημι πρός δόμος ὑψηλός ὅθεν ὑδρεύω πολίτης
2187287,7.132,[7.132] τοῖ᾽ ἄρ᾽ ἐν Ἀλκινόοιο θεῶν ἔσαν ἀγλαὰ δῶρα. [0],Such were the glorious gifts of the gods in the palace of Alcinous.,τοῖος ἄρα ἐν Ἀλκίνοος θεός εἰμί ἀγλαός δῶρον
2187288,7.133,[7.133] ἔνθα στὰς θηεῖτο πολύτλας δῖος Ὀδυσσεύς.,There the much-enduring goodly Odysseus stood and gazed.,ἔνθα ἵστημι θεάομαι πόλυτλας δῖος Ὀδυσσεύς
2187289,7.134-7.135,"[7.134] αὐτὰρ ἐπεὶ δὴ πάντα ἑῷ θηήσατο θυμῷ, [7.135] καρπαλίμως ὑπὲρ οὐδὸν ἐβήσετο δώματος εἴσω.","But when he had marvelled in his heart at all things, he passed quickly over the threshold into the house.",ἀτάρ ἐπεί δή πᾶς ἑός θεάομαι θυμός καρπάλιμος ὑπέρ οὐδός βαίνω δῶμα εἴσω
2187290,7.136-7.138,"[7.136] εὗρε δὲ Φαιήκων ἡγήτορας ἠδὲ μέδοντας [7.137] σπένδοντας δεπάεσσιν ἐυσκόπῳ ἀργεϊφόντῃ, [7.138] ᾧ πυμάτῳ σπένδεσκον, ὅτε μνησαίατο κοίτου.","There he found the leaders and counsellors of the Phaeacians pouring libations from their cups to the keen-sighted Argeiphontes, to whom they were wont to pour the wine last of all, when they were minded to go to their rest.",εὑρίσκω δέ Φαίαξ ἡγήτωρ ἠδέ μέδων σπένδω δέπας εὔσκοπος Ἀργειφόντης ὅς πύματος σπένδω ὅτε μιμνήσκω κοῖτος
2187291,7.139-7.141,"[7.139] αὐτὰρ ὁ βῆ διὰ δῶμα πολύτλας δῖος Ὀδυσσεὺς [7.140] πολλὴν ἠέρ᾽ ἔων, ἥν οἱ περίχευεν Ἀθήνη, [7.141] ὄφρ᾽ ἵκετ᾽ Ἀρήτην τε καὶ Ἀλκίνοον βασιλῆα. [0]","But the much-enduring goodly Odysseus went through the hall, wrapped in the thick mist which Athena had shed about him, till he came to Arete and to Alcinous the king.",ἀτάρ ὁ βαίνω διά δῶμα πολύτλας δῖος Ὀδυσσεύς πολύς ἀήρ ἔχω ὅς ἕ περιχέω Ἀθήνη ὄφρα ἱκνέομαι ʼἀρήτη τε καί Ἀλκίνοος βασιλεύς
2187292,7.142-7.143,"[7.142] ἀμφὶ δ᾽ ἄρ᾽ Ἀρήτης βάλε γούνασι χεῖρας Ὀδυσσεύς, [7.143] καὶ τότε δή ῥ᾽ αὐτοῖο πάλιν χύτο θέσφατος ἀήρ.","About the knees of Arete Odysseus cast his hands, and straightway the wondrous mist melted from him,",ἀμφί δέ ἄρα Ἀρήτη βάλλω γόνυ χείρ Ὀδυσσεύς καί τότε δή ἄρα αὐτός πάλιν χέω θέσφατος ἀήρ
2187293,7.144,"[7.144] οἱ δ᾽ ἄνεῳ ἐγένοντο, δόμον κάτα φῶτα ἰδόντες:","and a hush fell upon all that were in the room at sight of the man,",ὁ δέ ἄνεω γίγνομαι δόμος κατά φώς εἶδον
2187294,7.145,[7.145] θαύμαζον δ᾽ ὁρόωντες.,and they marvelled as they looked upon him.,θαυμάζω δέ ὁράω
2187295,7.145,[7.145] ὁ δὲ λιτάνευεν Ὀδυσσεύς: [0],But Odysseus made his prayer:,ὁ δέ λιτανεύω Ὀδυσσεύς
2187296,7.146-7.148,"&#34; [7.146] Ἀρήτη, θύγατερ Ῥηξήνορος ἀντιθέοιο, [7.147] σόν τε πόσιν σά τε γούναθ᾽ ἱκάνω πολλὰ μογήσας [7.148] τούσδε τε δαιτυμόνας:","Arete, daughter of godlike Rhexenor, to thy husband and to thy knees am I come after many toils,—aye and to these banqueters,",θυοτε Ἀρήτη θυγάτηρ Ῥηξήνωρ ἀντίθεος σός τε πόσις σός τε γόνυ ἱκάνω πολύς μογέω ὅδε τε δαιτυμών
